source_row,frequency_rank,complexity,word,romanized,pos_ko,classification,hanja_ref,english,note,word_group_size,word_group_index,review_flags
3081,3426.0,C,오해,ohae,명,noun,誤解,Misunderstanding,,1,1,
3082,3428.0,B,웬일,wenil,명,noun,,"What cause, what reason",,1,1,
3083,3431.0,C,의식,uisik,명,noun,儀式,A ceremony,,2,2,surface_duplicate
3084,3432.0,C,의지하다,uijihada,동,verb,依支-,"To look to, depend on, rely on",,1,1,
3085,3433.0,B,일기,ilgi,명,noun,日記,"A diary, journal",,2,1,surface_duplicate
3086,3434.0,B,절대,jeoldae,부,adverb,絶對,Absoluteness,,2,1,surface_duplicate
3087,3436.0,C,제한하다,jehanhada,동,verb,制限-,"To restrict,limit",,1,1,
3088,3437.0,C,존중하다,jonjunghada,동,verb,尊重-,"appreciate,esteem,value",,1,1,
3089,3439.0,B,창고,changgo,명,noun,倉庫,"A warehouse,storehouse",,1,1,
3090,3440.0,C,채,chae,부,adverb,말이~끝나기도전에,"As it is, no change",,3,2,surface_duplicate
3091,3441.0,C,책임지다,chaegimjida,동,verb,,Take responsibility,,1,1,
3092,3442.0,C,청춘,cheongchun,명,noun,靑春,"youth,the springtime of life",,1,1,
3093,3443.0,C,초반,choban,명,noun,初盤,The opening part (of a game of baduk),,1,1,
3094,3446.0,C,트럭,teureok,명,noun,truck,Truck,,1,1,
3095,3447.0,B,파,pa,명,noun,식물,Onions,,1,1,
3096,3448.0,C,폭넓다,pokneolpda,형,adjective,幅-,To be broad,,1,1,
3097,3449.0,C,표현되다,pyohyeondoeda,동,verb,表現-,To have been expressed,,1,1,
3098,3450.0,C,학번,hakbeon,명,noun,學番,Year of graduation,,1,1,
3099,3451.0,B,학원,hagwon,명,noun,學院,Learning institute,,1,1,
3100,3452.0,C,허가,heoga,명,noun,許可,"Permission, grant, leave",,1,1,
3101,3453.0,C,헤매다,hemaeda,동,verb,,"Wander about, roam about",,1,1,
3102,3454.0,C,가장,gajang,명,noun,家長,head of a family,,2,2,surface_duplicate
3103,3459.0,C,곡,gok,명,noun,曲,A tune or an air,,1,1,
3104,3460.0,C,곡식,goksik,명,noun,穀食,Cereals or grain,,1,1,
3105,3462.0,C,꽂다,kkojda,동,verb,,Be stuck in or insert,,1,1,
3106,3466.0,C,두려움,duryeoum,명,noun,,"fear, terror",,1,1,
3107,3467.0,C,망설이다,mangseorida,동,verb,,Hesitate,,1,1,
